Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
260960005000001,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,339,1119,3.3,2.15,1401.37,2038280.59,1457.25,2038125.94,794.34,1285320.1,1180.16,1454544.55,NA
260960005000002,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,360,1267,3.52,2.77,588.34,916673.81,1393.44,1050089.33,498.58,785470.41,1193.68,1051362.91,NA
260960005000003,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,174,557,3.2,2.38,1309.08,2896114.66,1528.72,3047278.66,832.87,1469587.43,1245.65,1684378.36,NA
260960005000004,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,225,709,3.15,2.69,480.65,458309.01,801.09,507515.48,443.31,450775.7,774.83,531240.33,NA
260960005000005,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,337,1045,3.1,2.59,788.71,499400.26,871.46,479618.97,472.41,350962.49,772.03,342224.91,NA
260960005000006,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,209,727,3.48,2.83,1197.3,2231588.5,1303.31,2291323.74,676.05,1208157.39,1084.39,1495820.35,NA
260960005000007,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,406,1381,3.4,2.36,1381.39,1319249.5,1445.47,1287737.6,771.45,946037.67,1163.29,970759.68,NA
260960005000008,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,260,890,3.42,2.56,1521.27,2511578.76,1607.84,2515328.77,859.44,1614574.92,1282.21,1867184.6,NA
260960005000009,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,302,949,3.14,2.06,1275.46,1302352.92,1351.54,1277123.3,807.53,1304002.47,1231.27,1466812.31,NA
260960005000010,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,363,1190,3.28,2.7,1117.04,1970201.99,1369.89,2070130.49,730.98,1146035.77,1086.54,1317387.87,NA
